J,Kp,Kd
24600.0,0.0994,0.43999999999999995
24600.0,0.10200000000000001,0.45999999999999996
24600.0,0.1072,0.48
24600.0,0.1124,0.49999999999999994
24600.0,0.1176,0.52
24600.0,0.1202,0.54
24600.0,0.1254,0.5599999999999999
24600.0,0.1306,0.58
24800.0,0.1124,0.49999999999999994
24800.0,0.1254,0.5599999999999999
24800.0,0.1306,0.58
24800.0,0.1358,0.5999999999999999
25000.0,0.057800000000000004,0.26
25000.0,0.076,0.33999999999999997
25000.0,0.0812,0.36
25000.0,0.089,0.39999999999999997
25000.0,0.0942,0.42
25000.0,0.0994,0.43999999999999995
25000.0,0.10200000000000001,0.45999999999999996
25000.0,0.1072,0.48
25000.0,0.1124,0.49999999999999994
25000.0,0.1176,0.52
25000.0,0.1228,0.54
25000.0,0.1254,0.5599999999999999
25000.0,0.1306,0.58
25000.0,0.1358,0.5999999999999999
25200.0,0.13319999999999999,0.5999999999999999
25400.0,0.115,0.52
25400.0,0.1202,0.54
25400.0,0.128,0.58
25400.0,0.13319999999999999,0.5999999999999999
25600.0,0.0526,0.24
25600.0,0.057800000000000004,0.26
25600.0,0.0708,0.32
25600.0,0.0838,0.38
25600.0,0.089,0.39999999999999997
25600.0,0.0942,0.42
25600.0,0.0968,0.43999999999999995
25600.0,0.10200000000000001,0.45999999999999996
25600.0,0.1072,0.48
25600.0,0.10980000000000001,0.49999999999999994
25600.0,0.115,0.52
25600.0,0.1202,0.54
25600.0,0.1254,0.5599999999999999
25600.0,0.128,0.58
25600.0,0.13319999999999999,0.5999999999999999
25800.0,0.0526,0.24
25800.0,0.0708,0.32
25800.0,0.076,0.33999999999999997
25800.0,0.0838,0.38
25800.0,0.089,0.39999999999999997
25800.0,0.10200000000000001,0.45999999999999996
26000.0,0.0656,0.3
26000.0,0.07339999999999999,0.33999999999999997
26000.0,0.0786,0.36
26000.0,0.0838,0.38
26000.0,0.0916,0.42
26000.0,0.10980000000000001,0.49999999999999994
26000.0,0.1228,0.5599999999999999
26000.0,0.128,0.58
26200.0,0.0604,0.28
26200.0,0.0656,0.3
26200.0,0.0786,0.36
26200.0,0.0838,0.38
26200.0,0.0916,0.42
26200.0,0.0968,0.43999999999999995
26200.0,0.10200000000000001,0.45999999999999996
26200.0,0.1046,0.48
26200.0,0.10980000000000001,0.49999999999999994
26200.0,0.115,0.52
26200.0,0.1176,0.54
26200.0,0.1228,0.5599999999999999
26200.0,0.128,0.58
26400.0,0.0526,0.24
26400.0,0.0656,0.3
26400.0,0.0708,0.32
26400.0,0.0786,0.36
26400.0,0.0838,0.38
26400.0,0.0968,0.43999999999999995
26400.0,0.10980000000000001,0.49999999999999994
26400.0,0.115,0.52
26400.0,0.1228,0.5599999999999999
26400.0,0.128,0.58
26400.0,0.13319999999999999,0.5999999999999999
26600.0,0.1306,0.5999999999999999
26800.0,0.1306,0.5999999999999999
27000.0,0.07339999999999999,0.33999999999999997
27000.0,0.0786,0.36
27000.0,0.0864,0.39999999999999997
27000.0,0.0916,0.42
27000.0,0.1046,0.48
27000.0,0.1176,0.54
27000.0,0.1228,0.5599999999999999
27000.0,0.1306,0.5999999999999999
27200.0,0.1254,0.58
27400.0,0.0812,0.38
27400.0,0.0864,0.39999999999999997
27400.0,0.0942,0.43999999999999995
27400.0,0.0994,0.45999999999999996
27400.0,0.10200000000000001,0.48
27400.0,0.1072,0.49999999999999994
27400.0,0.1124,0.52
27400.0,0.115,0.54
27400.0,0.1202,0.5599999999999999
27400.0,0.1254,0.58
27400.0,0.128,0.5999999999999999
27600.0,0.0552,0.26
27600.0,0.06820000000000001,0.32
27600.0,0.07339999999999999,0.33999999999999997
27600.0,0.0812,0.38
27600.0,0.0864,0.39999999999999997
27600.0,0.0942,0.43999999999999995
27600.0,0.0994,0.45999999999999996
27800.0,0.06820000000000001,0.32
27800.0,0.076,0.36
27800.0,0.0812,0.38
27800.0,0.089,0.42
27800.0,0.10200000000000001,0.48
27800.0,0.115,0.54
27800.0,0.128,0.5999999999999999
28000.0,0.0552,0.26
28000.0,0.063,0.3
28000.0,0.06820000000000001,0.32
28000.0,0.0812,0.38
28000.0,0.089,0.42
28000.0,0.0942,0.43999999999999995
28000.0,0.0968,0.45999999999999996
28000.0,0.10200000000000001,0.48
28000.0,0.1072,0.49999999999999994
28000.0,0.10980000000000001,0.52
28000.0,0.115,0.54
28000.0,0.1202,0.5599999999999999
28000.0,0.1228,0.58
28000.0,0.128,0.5999999999999999
28200.0,0.0552,0.26
28400.0,0.1228,0.58
28600.0,0.128,0.5999999999999999
28800.0,0.0708,0.33999999999999997
28800.0,0.0786,0.38
28800.0,0.0916,0.43999999999999995
28800.0,0.0994,0.48
28800.0,0.1046,0.49999999999999994
28800.0,0.1072,0.52
28800.0,0.1124,0.54
28800.0,0.1176,0.5599999999999999
28800.0,0.1202,0.58
28800.0,0.1254,0.5999999999999999
29000.0,0.0708,0.33999999999999997
29000.0,0.0786,0.38
29000.0,0.0838,0.39999999999999997
29000.0,0.0916,0.43999999999999995
29000.0,0.1046,0.49999999999999994
29000.0,0.1254,0.5999999999999999
29200.0,0.057800000000000004,0.28
29200.0,0.0708,0.33999999999999997
29200.0,0.0838,0.39999999999999997
29200.0,0.0916,0.43999999999999995
29200.0,0.0968,0.45999999999999996
29200.0,0.0994,0.48
29200.0,0.1046,0.49999999999999994
29200.0,0.10980000000000001,0.52
29200.0,0.1124,0.54
29200.0,0.1176,0.5599999999999999
29200.0,0.1202,0.58
29200.0,0.1254,0.5999999999999999
29400.0,0.0656,0.32
29400.0,0.0864,0.42
29400.0,0.0942,0.45999999999999996
29400.0,0.0994,0.48
29400.0,0.10200000000000001,0.49999999999999994
29400.0,0.1072,0.52
29400.0,0.1124,0.54
29400.0,0.115,0.5599999999999999
29400.0,0.1202,0.58
29400.0,0.1228,0.5999999999999999
29600.0,0.0656,0.32
29600.0,0.07339999999999999,0.36
29600.0,0.0786,0.38
29600.0,0.0864,0.42
29600.0,0.0916,0.43999999999999995
29600.0,0.0994,0.48
29600.0,0.1202,0.58
29800.0,0.057800000000000004,0.28
29800.0,0.0656,0.32
29800.0,0.0786,0.38
29800.0,0.0916,0.43999999999999995
29800.0,0.0994,0.48
29800.0,0.1046,0.49999999999999994
29800.0,0.1072,0.52
29800.0,0.1124,0.54
29800.0,0.115,0.5599999999999999
29800.0,0.1202,0.58
29800.0,0.1254,0.5999999999999999
30000.0,0.1228,0.5999999999999999
